UTCtime,lat,lon
2016-09-15T14:40:52,42.768,13.13
2016-09-15T14:43:51,42.774,13.13
2016-09-15T14:44:24,42.776,13.13
2016-09-19T23:34:25,42.673,13.27
2016-10-07T07:27:07,46.548,9.544
2016-10-08T12:19:03,42.744,13.17
2016-10-08T18:11:09,42.738,13.18
2016-10-09T04:42:42,42.740,13.18
2016-10-16T09:32:35,42.747,13.17
2016-10-24T14:44:12,46.226,7.601
2016-10-25T16:53:00,43.606,11.00
2016-10-26T17:10:36,42.874,13.12
2016-10-26T17:10:36,42.878,13.12
2016-10-26T19:18:05,42.902,13.12
2016-10-26T19:18:07,42.904,13.09
2016-10-26T19:19:24,42.953,13.06
2016-10-26T19:22:56,42.945,13.07
2016-10-26T19:24:21,42.973,13.06
2016-10-26T19:25:18,42.935,13.07
2016-10-26T19:26:03,43.018,13.05
2016-10-26T19:43:43,42.894,13.06
2016-10-26T19:49:26,42.963,13.05
2016-10-26T21:24:51,42.871,13.07
2016-10-26T21:42:01,42.864,13.12
2016-10-26T23:52:30,42.842,13.16
2016-10-27T00:21:29,42.995,13.11
2016-10-27T01:37:05,42.844,13.16
2016-10-27T02:44:45,42.906,13.04
2016-10-27T03:19:27,42.842,13.14
2016-10-27T03:50:24,42.984,13.12
2016-10-27T07:50:29,42.821,13.14
2016-10-27T08:21:45,42.874,13.09
2016-10-27T12:19:00,43.021,13.12
2016-10-27T17:22:22,42.839,13.09
2016-10-27T17:23:43,42.848,13.10
2016-10-28T02:13:19,43.029,13.11
2016-10-28T13:56:32,42.865,13.21
2016-10-28T13:56:39,42.865,13.20
2016-10-28T15:56:59,42.784,13.11
2016-10-28T19:56:31,42.861,13.15
2016-10-28T20:02:43,39.267,13.54
2016-10-28T23:18:10,42.880,13.08
2016-10-29T08:48:54,42.991,13.05
2016-10-29T10:16:25,42.848,13.15
2016-10-29T11:58:04,39.950,15.83
2016-10-29T16:24:33,42.811,13.09
2016-10-30T06:40:17,42.830,13.10
2016-10-30T06:41:16,42.774,13.13
2016-10-30T06:42:27,42.882,13.05
2016-10-30T06:43:08,42.766,13.13
2016-10-30T06:43:46,42.900,13.14
2016-10-30T06:44:30,42.862,13.07
2016-10-30T06:48:27,42.783,13.16
2016-10-30T06:48:52,42.686,13.19
2016-10-30T06:50:43,42.806,13.19
2016-10-30T06:51:14,42.893,13.07
2016-10-30T06:51:55,42.783,13.12
2016-10-30T06:55:41,42.713,13.19
2016-10-30T06:55:54,42.751,13.22
2016-10-30T06:56:05,42.799,13.10
2016-10-30T06:56:38,42.843,13.14
2016-10-30T06:57:21,42.861,13.09
2016-10-30T06:59:31,42.881,13.14
2016-10-30T06:59:45,42.830,13.19
2016-10-30T07:00:40,42.877,13.05
2016-10-30T07:01:32,42.777,13.22
2016-10-30T07:03:22,42.806,13.12
2016-10-30T07:04:59,42.827,13.06
2016-10-30T07:05:56,42.793,13.15
2016-10-30T07:06:45,42.874,13.05
2016-10-30T07:07:53,42.716,13.19
2016-10-30T07:08:25,42.816,13.15
2016-10-30T07:09:24,42.860,13.05
2016-10-30T07:10:06,42.804,13.10
2016-10-30T07:13:05,42.694,13.22
2016-10-30T07:13:37,42.768,13.23
2016-10-30T07:14:00,42.682,13.22
2016-10-30T07:15:53,42.859,13.07
2016-10-30T07:16:34,42.721,13.19
2016-10-30T07:19:54,42.825,13.09
2016-10-30T07:23:40,42.782,13.13
2016-10-30T07:24:38,42.728,13.22
2016-10-30T07:30:12,42.803,13.08
2016-10-30T07:34:47,42.927,13.13
2016-10-30T07:37:20,42.883,13.10
2016-10-30T07:38:59,42.682,13.15
2016-10-30T07:40:32,42.777,13.17
2016-10-30T07:41:07,42.858,13.05
2016-10-30T07:42:45,42.668,13.30
2016-10-30T07:42:56,42.742,13.18
2016-10-30T07:44:15,42.937,13.19
2016-10-30T07:44:45,42.809,13.14
2016-10-30T07:45:03,42.833,13.04
2016-10-30T07:59:17,42.786,13.08
2016-10-30T08:00:09,42.796,13.12
2016-10-30T08:10:51,42.859,13.05
2016-10-30T08:13:04,42.892,13.15
2016-10-30T08:21:54,42.827,13.11
2016-10-30T08:22:52,42.728,13.13
2016-10-30T08:24:35,42.776,13.07
2016-10-30T08:31:06,42.884,13.10
2016-10-30T08:32:00,42.900,13.15
2016-10-30T08:34:21,42.860,13.05
2016-10-30T08:35:58,42.836,13.07
2016-10-30T08:37:04,42.740,13.26
2016-10-30T08:41:19,42.895,13.18
2016-10-30T08:57:55,42.710,13.21
2016-10-30T09:02:29,42.936,13.20
2016-10-30T09:04:45,42.693,13.21
2016-10-30T09:27:07,35.146,16.20
2016-10-30T09:51:04,42.846,13.13
2016-10-30T10:19:26,42.811,13.14
2016-10-30T10:24:33,42.942,13.19
2016-10-30T10:26:24,42.837,13.07
2016-10-30T10:49:43,44.141,12.26
2016-10-30T10:50:37,42.783,13.08
2016-10-30T11:00:49,42.815,13.08
2016-10-30T11:05:54,42.932,13.18
2016-10-30T11:14:20,42.806,3.192
2016-10-30T11:14:51,42.933,13.18
2016-10-30T11:20:21,42.806,13.18
2016-10-30T11:21:08,43.062,13.06
2016-10-30T11:40:00,42.895,13.14
2016-10-30T11:58:17,42.844,13.05
2016-10-30T12:07:00,42.841,13.07
2016-10-30T12:26:17,42.939,13.18
2016-10-30T13:02:31,42.731,13.15
2016-10-30T13:14:16,42.764,13.06
2016-10-30T13:21:28,43.018,13.12
2016-10-30T13:34:54,42.806,13.16
2016-10-30T14:03:18,42.938,13.21
2016-10-30T14:14:19,42.899,13.19
2016-10-30T14:14:39,42.781,13.07
2016-10-30T14:45:22,42.900,13.16
2016-10-30T16:07:21,43.060,13.06
2016-10-30T17:49:13,42.912,13.13
2016-10-30T18:21:09,42.782,13.15
2016-10-30T18:39:29,42.816,13.09
2016-10-30T23:05:31,42.914,13.20
2016-10-31T02:49:41,43.067,13.05
2016-10-31T03:27:40,42.761,13.08
2016-10-31T03:32:37,42.944,13.19
2016-10-31T06:17:19,42.765,13.20
2016-10-31T07:05:44,42.838,13.12
2016-10-31T08:37:33,43.025,13.08
2016-10-31T09:34:17,42.819,13.15
2016-11-01T03:19:05,42.902,13.29
2016-11-01T06:36:05,43.005,13.13
2016-11-01T07:56:40,42.990,13.13
2016-11-01T08:07:24,42.986,13.15
2016-11-01T15:13:43,42.904,13.16
2016-11-01T17:59:13,42.804,13.13
2016-11-01T18:02:54,42.804,13.12
2016-11-01T18:03:07,42.800,13.15
2016-11-01T19:03:20,42.796,13.04
2016-11-02T06:08:48,43.033,13.05
2016-11-02T06:41:13,42.790,13.16
2016-11-02T19:37:49,42.876,13.06
2016-11-03T00:35:01,43.027,13.04
2016-11-03T11:59:17,42.908,13.21
2016-11-03T13:10:45,42.687,13.16
